Time,Force_X_post,Force_Y_post,Force_Z_post
822.883,30.220834879967125,14.639507055811437,-904.0136845953966
822.983,29.15443359215083,14.708838699986297,-905.2356921118624
823.083,27.823586478768373,14.63590260670601,-909.0823975027109
823.183,26.999584007609055,14.862564698040366,-919.4840903060679
823.283,26.78683835526214,15.389281316936565,-937.7110424726143
823.383,26.564502197658136,15.9054478732355,-961.2299213365951
823.483,25.952632967078326,16.31356390248027,-986.3526872488736
823.583,25.116666337739115,16.68378645743469,-1011.6288946964531
823.683,24.611165477119542,17.076963549553902,-1038.51622920213
823.783,24.848727154343372,17.522333365349418,-1067.2799672380124
823.883,25.50586654171606,18.0364185751359,-1094.1791386368234
823.983,25.84237389873997,18.58497278471675,-1114.8227937968886
824.083,25.71385538204048,19.077810057596363,-1128.181631166746
824.183,25.63773576781125,19.503218157042216,-1135.6564374475354
824.283,26.016828283751924,19.92766288812061,-1137.9875465506252
824.383,26.601036745951777,20.276815715929132,-1133.504304965444
824.483,26.670579040799986,20.40187185926214,-1119.2369550791113
824.583,26.123210515084853,20.41795428955652,-1095.2651132211417
824.683,25.599691735097984,20.532903677452616,-1066.4778986525814
824.783,25.391602126402493,20.547679158594434,-1039.3217303466868
824.883,25.457239238841325,20.086539213896152,-1018.8986860503722
824.983,25.96126843515454,19.297533519747628,-1007.5068138006214
825.083,26.90427196763174,18.640461637803934,-1003.6823794753959
825.183,27.74028670338024,18.150196558521248,-1003.7188906924667
825.283,27.813255286189595,17.65825742296186,-1005.7806362632034
825.383,27.537205407942224,17.24908105942359,-1013.3629402705643
825.483,28.420749703905653,17.001281380066395,-1031.0032297701964
825.583,30.746369197513246,16.814525277200833,-1054.2847012468808
825.683,32.72036831192966,16.605146121931813,-1070.7702505261848
825.783,33.06378300184214,16.406355638014244,-1073.091958189859
825.883,32.41102840260972,16.251810794737082,-1064.568176891676
825.983,32.036681113437886,16.11345020099124,-1051.7358921793718
826.083,32.553595539863466,15.979787209066819,-1035.9483079277984
